ID	DOCULECT	CONCEPT	SPANISH	VALUE	FORM	TOKENS	MORPHEMES	COGID	COGIDS	NOTES
4179	Mastanawa	dull [knife]	desafilado embotado	ʃitu	ʃitu	ʃ i t u		296		
4180	Chaninawa	dull [knife]	desafilado embotado	ʂɨtu	ʂɨtu	ʂ ɨ t u		296		
4181	Sharanawa	dull [knife]	desafilado embotado	ʂɨtu	ʂɨtu	ʂ ɨ t u		296		
4182	Amawaka	dull [knife]	desafilado embotado	çɨntu	çɨntu	ç ɨ n t u		296		
4183	Nawa	dull [knife]	desafilado embotado	ʂɨtu	ʂɨtu	ʂ ɨ t u		296		
4184	Marinawa	dull [knife]	desafilado embotado	ʂɨtu	ʂɨtu	ʂ ɨ t u		296		
4185	Yaminawa	dull [knife]	desafilado embotado	mata	mata	m a t a		299		
4186	Kashinawa_P	dull [knife]	desafilado embotado	ʃintu	ʃintu	ʃ i n t u		296		
4187	Araona	dull [knife]	desafilado embotado	apishapisha	apishapisha	a p i ʃ a p i ʃ a		302		
4188	Tacana	dull [knife]	desafilado embotado	?	ʔ	ʔ		300		
4189	Ese_ejja	dull [knife]	desafilado embotado	?	ʔ	ʔ		301		
4190	Matses	straight	recto derecho	kue	kue	k u e	straight	1210		
4191	Matis	straight	recto derecho	kue	kue	k u e		1210		
4192	Marubo	straight	recto derecho	mɨki	mɨki	m ɨ k i		1212		
4193	Katukina	straight	recto derecho	muki	muki	m u k i		1212		
4194	Shipibo_Konibo	straight	recto derecho	puntɨ	puntɨ	p u n t ɨ		1208		
4195	Kapanawa	straight	recto derecho	puntɨ	puntɨ	p u n t ɨ		1208		
4196	Arara	straight	recto derecho	kaiakaβi	kaiakaβi	k a i a k a β i		1207		
4197	Shanenawa	straight	recto derecho	mɨstɨn	mɨstɨn	m ɨ s t ɨ n		1206		
4198	Yawanawa	straight	recto derecho	mistan	mistan	m i s t a n		1206		
4199	Chakobo	straight	recto derecho	mɨstɨ	mɨstɨ	m ɨ s t ɨ		1206		
4200	Kakataibo	straight	recto derecho	puntɨ	puntɨ	p u n t ɨ		1208		
4201	Kaxarari	straight	recto derecho	kayakã	kayakã	k a j a k ã		1207		
4202	Mastanawa	straight	recto derecho	kajaʔaɸi	kajaʔaɸi	k a j a ʔ a ɸ i		1207		
4203	Chaninawa	straight	recto derecho	bɨstɨ	bɨstɨ	b ɨ s t ɨ		1206		
4204	Sharanawa	straight	recto derecho	kajaka	kajaka	k a j a k a		1207		
4205	Amawaka	straight	recto derecho	mɨstɨ	mɨstɨ	m ɨ s t ɨ		1206		
4206	Nawa	straight	recto derecho	wɨsti	wɨsti	w ɨ s t i		1206		
4207	Marinawa	straight	recto derecho	bɨstɨ	bɨstɨ	b ɨ s t ɨ		1206		
4208	Yaminawa	straight	recto derecho	mɨstɨj	mɨstɨj	m ɨ s t ɨ dʒ		1206		
4209	Kashinawa_P	straight	recto derecho	justuma	justuma	j u s t u m a		1211		
4210	Kashinawa_B	straight	recto derecho	yuʂtuma	yuʂtuma	j u ʂ t u m a		1211		
4211	Araona	straight	recto derecho	ateli	ateli	a t e l i		1213		
4212	Araona	straight	recto derecho	apia	apia	a p i a		1209		
4213	Tacana	straight	recto derecho	enime	enime	e n i m e		1215		
4214	Tacana	straight	recto derecho	butsepi	butsepi	b u ts e p i		1214		
4215	Cavinena	straight	recto derecho	tuyu	tuyu	t u j u		1216		
4216	Ese_ejja	straight	recto derecho	epí	epí	e p í/i		1209		
4217	Matses	black	negro	tʂɨʂɨ	tʂɨʂɨ	ʈʂ ɨ ʂ ɨ	black	99		means dark or red in other languages
4218	Matis	black	negro	wisu	wisu	w i s u	black	98		
4219	Marubo	black	negro	tʂɨʂɨ	tʂɨʂɨ	ʈʂ ɨ ʂ ɨ		99		
4220	Marubo	black	negro	isu	isu	i s u		98		
4221	Katukina	black	negro	txeshe	txeshe	t x e ʃ e		99		
4222	Shipibo_Konibo	black	negro	wisu	wisu	w i s u		98		
4223	Kapanawa	black	negro	wisu	wisu	w i s u		98		
4224	Arara	black	negro	tɨʃɨ	tɨʃɨ	t ɨ ʃ ɨ		1563		
4225	Shanenawa	black	negro	tuʂu	tuʂu	t u ʂ u		1563		
4226	Yawanawa	black	negro	tʃɨhʃɨ	tʃɨhʃɨ	tʃ ɨ h ʃ ɨ		99		
4227	Nukini	black	negro	βisu	βisu	β i s u		98		
4228	Poyanawa	black	negro	ʧɨhɨ	ʧɨhɨ	tʃ ɨ h ɨ		99		
4229	Iskonawa	black	negro	ʧɨhɨ	ʧɨhɨ	tʃ ɨ h ɨ		99		
4230	Chakobo	black	negro	tʃɨkɨ	tʃɨkɨ	tʃ ɨ k ɨ		1562		
4231	Pakawara	black	negro	tʃɨkɨ	tʃɨkɨ	tʃ ɨ k ɨ		1562		
4232	Kakataibo	black	negro	tunan	tunan	t u n a n		102		
4233	Kaxarari	black	negro	tʃɨʂɨ	tʃɨʂɨ	tʃ ɨ ʂ ɨ		99		
4234	Mastanawa	black	negro	ɸɨsu(pa)	ɸɨsu	ɸ ɨ s u		98		
4235	Chaninawa	black	negro	ɸisu	ɸisu	ɸ i s u		98		
4236	Sharanawa	black	negro	ɸisu	ɸisu	ɸ i s u		98		
4237	Amawaka	black	negro	t͡ʃaʔu	t͡ʃaʔu	tʃ a ʔ u		103		
4238	Nawa	black	negro	ɸisu	ɸisu	ɸ i s u		98		
4239	Marinawa	black	negro	ɸisu	ɸisu	ɸ i s u		98		
4240	Marinawa	black	negro	ʧɨʂɨ	ʧɨʂɨ	tʃ ɨ ʂ ɨ		99		
4241	Yaminawa	black	negro	ɸɨsu	ɸɨsu	ɸ ɨ s u		98		
4242	Kashinawa_P	black	negro	mɨʂu	mɨʂu	m ɨ ʂ u		1561		
4243	Kashinawa_B	black	negro	mɨʂupa	mɨʂupa	m ɨ ʂ u p a		1561		
4244	Araona	black	negro	sewa	sewa	s e w a		100		
4245	Tacana	black	negro	dhewena	dhewena	dʱ e w e n a		100		
4246	Cavinena	black	negro	esehuena	esehuena	e s e h u e n a		100		
4247	Cavinena	black	negro	sehueda	sehueda	s e h u e d a		100		
4248	Ese_ejja	black	negro	queatehue	queatehue	q u e a t e h u e		101		
4249	Matses	white	blanco	uʂu	uʂu	u ʂ u	white	1439		
4250	Matis	white	blanco	wasa	wasa	w a s a		1624		
4251	Marubo	white	blanco	uʂu	uʂu	u ʂ u		1439		
4252	Katukina	white	blanco	uxu	uxu	u x u		1439		
4253	Shipibo_Konibo	white	blanco	huʂu	huʂu	h u ʂ u		1439		
4254	Kapanawa	white	blanco	huʂu	huʂu	h u ʂ u		1439		
4255	Arara	white	blanco	oʃɨpa	oʃɨpa	o ʃ ɨ p a		1621		
4256	Yawanawa	white	blanco	uʃu	uʃu	u ʃ u		1439		
4257	Nukini	white	blanco	uhu	uhu	u h u		1439		
4258	Poyanawa	white	blanco	uhu	uhu	u h u		1439		
4259	Iskonawa	white	blanco	rauh	rauh	r a u h		1439		
4260	Chakobo	white	blanco	huʂu	huʂu	h u ʂ u		1439		
4261	Pakawara	white	blanco	huʂu	huʂu	h u ʂ u		1439		
4262	Kakataibo	white	blanco	uʂu	uʂu	u ʂ u		1439		
4263	Kaxarari	white	blanco	wakuʂu	wakuʂu	w a k u ʂ u		1623		
4264	Mastanawa	white	blanco	uʂu(pa)	uʂu	u ʂ u		1439		
4265	Chaninawa	white	blanco	uʂu	uʂu	u ʂ u		1439		
4266	Sharanawa	white	blanco	uʂu	uʂu	u ʂ u		1439		
4267	Amawaka	white	blanco	huçu	huçu	h u ç u		1439		
4268	Nawa	white	blanco	uʂu	uʂu	u ʂ u		1439		
4269	Marinawa	white	blanco	uʂu	uʂu	u ʂ u		1439		
4270	Yaminawa	white	blanco	uʂu	uʂu	u ʂ u		1439		
4271	Kashinawa_P	white	blanco	huʂu	huʂu	h u ʂ u		1439		
4272	Kashinawa_B	white	blanco	huʂupa	huʂupa	h u ʂ u p a		1439		
4273	Araona	white	blanco	amae	amae	a m a e		1441		
4274	Araona	white	blanco	apaja	apaja	a p a j a		1440		
4275	Tacana	white	blanco	pasane	pasane	p a s a n e		1440		
4276	Cavinena	white	blanco	pajada	pajada	p a j a d a		1440		
4277	Ese_ejja	white	blanco	queaoshe	queaoshe	q u e a o ʃ e		1442		
4278	Matses	red	rojo	piu	piu	p i u	rojo	904		
4279	Matis	red	rojo	pɨd	pɨd	p ɨ d		904		
4280	Marubo	red	rojo	unʃin	unʃin	u n ʃ i n		875		
4281	Katukina	red	rojo	unji	unji	u n j i		875		
4282	Shipibo_Konibo	red	rojo	huʃin	huʃin	h u ʃ i n		875		
4283	Kapanawa	red	rojo	huʃin	huʃin	h u ʃ i n		875		
4284	Arara	red	rojo	uʃinipa	uʃinipa	u ʃ i n i p a		875		
4285	Shanenawa	red	rojo	uʂuni	uʂuni	u ʂ u n i		875		
4286	Yawanawa	red	rojo	uʃin	uʃin	u ʃ i n		875		
4287	Poyanawa	red	rojo	taʃi	taʃi	t a ʃ i		903		
4288	Iskonawa	red	rojo	uʃin	uʃin	u ʃ i n		875		
4289	Chakobo	red	rojo	piʃi	piʃi	p i ʃ i		895		
4290	Pakawara	red	rojo	ʃini	ʃini	ʃ i n i		875		
4291	Kakataibo	red	rojo	tʃɨʂka	tʃɨʂka	tʃ ɨ ʂ k a		897		
4292	Kaxarari	red	rojo	puʂɨ	puʂɨ	p u ʂ ɨ		902		
4293	Mastanawa	red	rojo	unʃi	unʃi	u n ʃ i		875		
4294	Chaninawa	red	rojo	uʃin	uʃin	u ʃ i n		875		
4295	Sharanawa	red	rojo	uʃin	uʃin	u ʃ i n		875		
4296	Amawaka	red	rojo	winʃi	winʃi	w i n ʃ i		853		
4297	Nawa	red	rojo	uʃi	uʃi	u ʃ i		875		
4298	Marinawa	red	rojo	uʃi	uʃi	u ʃ i		875		
4299	Yaminawa	red	rojo	ũʃi	ũʃi	ũ ʃ i		875		
4300	Kashinawa_P	red	rojo	taʂi	taʂi	t a ʂ i		903		
4301	Kashinawa_B	red	rojo	taʂipa	taʂipa	t a ʂ i p a		903		
4302	Araona	red	rojo	asele	asele	a s e l e		900		
4303	Tacana	red	rojo	dherena	dherena	dʱ e r e n a		899		
4304	Tacana	red	rojo	dhereda	dhereda	dʱ e r e d a		899		
4305	Cavinena	red	rojo	pudeda	pudeda	p u d e d a		904		
4306	Ese_ejja	red	rojo	queahuo'o	queahuo'o	q u e a h u o o		901		
4307	Matses	yellow	amarillo	βɨʂpiu	βɨʂpiu	β ɨ ʂ p i u	?	1537		
4308	Matis	yellow	amarillo	ʃin	ʃin	ʃ i n		1531		
4309	Marubo	yellow	amarillo	kaʂta	kaʂta	k a ʂ t a		1533		
4310	Katukina	yellow	amarillo	manjin	manjin	m a n j i n		1531		
4311	Shipibo_Konibo	yellow	amarillo	panʃin	panʃin	p a n ʃ i n		1531		
4312	Kapanawa	yellow	amarillo	paʃin	paʃin	p a ʃ i n		1531		
4313	Arara	yellow	amarillo	pãʃi	pãʃi	p ã ʃ i		1531		
4314	Shanenawa	yellow	amarillo	paʂini	paʂini	p a ʂ i n i		1531		
4315	Yawanawa	yellow	amarillo	paʃin	paʃin	p a ʃ i n		1531		
4316	Nukini	yellow	amarillo	pãʃi	pãʃi	p ã ʃ i		1531		
4317	Poyanawa	yellow	amarillo	panxin	panxin	p a n x i n		1531		
4318	Iskonawa	yellow	amarillo	taʃi	taʃi	t a ʃ i		1531		
4319	Chakobo	yellow	amarillo	ʃini	ʃini	ʃ i n i		1531		
4320	Kakataibo	yellow	amarillo	panʃin	panʃin	p a n ʃ i n		1531		
4321	Kaxarari	yellow	amarillo	ʂini	ʂini	ʂ i n i		1531		
4322	Mastanawa	yellow	amarillo	aɾawa	aɾawa	a ɾ a w a		1532		
4323	Chaninawa	yellow	amarillo	aɾawa	aɾawa	a ɾ a w a		1532		
4324	Sharanawa	yellow	amarillo	aɾawa	aɾawa	a ɾ a w a		1532		
4325	Amawaka	yellow	amarillo	nawa	nawa	n a w a		1532		
4326	Nawa	yellow	amarillo	aɾawã	aɾawã	a ɾ a w ã		1532		
4327	Marinawa	yellow	amarillo	ʧasda	ʧasda	tʃ a s d a		1533		
4328	Yaminawa	yellow	amarillo	ʧaʂta	ʧaʂta	tʃ a ʂ t a		1533		
4329	Kashinawa_P	yellow	amarillo	paʃin	paʃin	p a ʃ i n		1531		
4330	Kashinawa_B	yellow	amarillo	paʃin	paʃin	p a ʃ i n		1531		
4331	Araona	yellow	amarillo	ajawa	ajawa	a j a w a		1534		
4332	Tacana	yellow	amarillo	tid'ina	tid'ina	t i d ʔ i n a		1538		
4333	Cavinena	yellow	amarillo	jahuada	jahuada	j a h u a d a		1535		
4334	Ese_ejja	yellow	amarillo	queajahua	queajahua	q u e a j a h u a		1536		
4335	Matses	green [color]	verde	umu	umu	u m u	green	517		
4336	Matis	green [color]	verde	ɨmu	ɨmu	ɨ m u		517		
4337	Marubo	green [color]	verde	ʂanɨ	ʂanɨ	ʂ a n ɨ		526		
4338	Katukina	green [color]	verde	shau	shau	ʃ a u		530		
4339	Shipibo_Konibo	green [color]	verde	yankun	yankun	j a n k u n		518		
4340	Kapanawa	green [color]	verde	yankun	yankun	j a n k u n		518		
4341	Arara	green [color]	verde	ʃininipa	ʃininipa	ʃ i n i n i p a		533		
4342	Shanenawa	green [color]	verde	ʂu	ʂu	ʂ u		530		
4343	Yawanawa	green [color]	verde	ʂuku	ʂuku	ʂ u k u		530		
4344	Nukini	green [color]	verde	huku	huku	h u k u		530		
4345	Poyanawa	green [color]	verde	ikamba	ikamba	i k a m b a		524		
4346	Iskonawa	green [color]	verde	ho	ho	h o		530		
4347	Chakobo	green [color]	verde	niaβa	niaβa	n i a β a		516		
4348	Kakataibo	green [color]	verde	kurua	kurua	k u r u a		519		
4349	Kaxarari	green [color]	verde	yara	yara	j a r a		527		
4350	Mastanawa	green [color]	verde	ʂu	ʂu	ʂ u		530		
4351	Chaninawa	green [color]	verde	ʂu	ʂu	ʂ u		530		
4352	Sharanawa	green [color]	verde	ʂu	ʂu	ʂ u		530		
4353	Amawaka	green [color]	verde	nawa	nawa	n a w a		492		
4354	Nawa	green [color]	verde	tuna	tuna	t u n a		525		
4355	Marinawa	green [color]	verde	ʂu	ʂu	ʂ u		530		
4356	Yaminawa	green [color]	verde	paʂa	paʂa	p a ʂ a		522		
4357	Yaminawa	green [color]	verde	ʂu	ʂu	ʂ u		530		
4358	Kashinawa_P	green [color]	verde	nankɨ	nankɨ	n a n k ɨ		528		
4359	Kashinawa_B	green [color]	verde	huʂiama	huʂiama	h u ʂ i a m a		529		
4360	Araona	green [color]	verde	asawalili	asawalili	a s a w a l i l i		520		
4361	Araona	green [color]	verde	zowiwi	zowiwi	z o w i w i		521		
4362	Tacana	green [color]	verde	china	china	tʃ i n a		523		
4363	Cavinena	green [color]	verde	sahuada	sahuada	s a h u a d a		531		
4364	Ese_ejja	green [color]	verde	etahua	etahua	e t a h u a		531		
4365	Matses	new	nuevo	tʃuka	tʃuka	tʃ u k a	new	818		
4366	Matis	new	nuevo	paʂa	paʂa	p a ʂ a	unripe	813		
4367	Marubo	new	nuevo	βɨna	βɨna	β ɨ n a		812		
4368	Katukina	new	nuevo	βena	βena	β e n a		812		
4369	Shipibo_Konibo	new	nuevo	βɨna	βɨna	β ɨ n a		812		
4370	Kapanawa	new	nuevo	βɨna	βɨna	β ɨ n a		812		
4371	Arara	new	nuevo	βɨnda	βɨnda	β ɨ n d a		812		
4372	Arara	new	nuevo	pɨʃkɨ	pɨʃkɨ	p ɨ ʃ k ɨ		817		
4373	Shanenawa	new	nuevo	fɨna	fɨna	f ɨ n a		812		
4374	Yawanawa	new	nuevo	βɨna	βɨna	β ɨ n a		812		
4375	Poyanawa	new	nuevo	βɨhu	βɨhu	β ɨ h u		812		
4376	Iskonawa	new	nuevo	βɨna	βɨna	β ɨ n a		812		
4377	Chakobo	new	nuevo	paʂa	paʂa	p a ʂ a		813		
4378	Kakataibo	new	nuevo	io	io	i o		820		
4379	Kaxarari	new	nuevo	xawɨlakɨ	xawɨlakɨ	x a w ɨ l a k ɨ		819		
4380	Mastanawa	new	nuevo	ɸɨda	ɸɨda	ɸ ɨ d a		812		
4381	Chaninawa	new	nuevo	ɸɨda	ɸɨda	ɸ ɨ d a		812		
4382	Sharanawa	new	nuevo	ɸɨda	ɸɨda	ɸ ɨ d a		812		
4383	Amawaka	new	nuevo	wɨnda	wɨnda	w ɨ n d a		812		
4384	Nawa	new	nuevo	ɸɨda	ɸɨda	ɸ ɨ d a		812		
4385	Marinawa	new	nuevo	ɸɨnda	ɸɨnda	ɸ ɨ n d a		812		
4386	Yaminawa	new	nuevo	ɸɨda	ɸɨda	ɸ ɨ d a		812		
4387	Kashinawa_P	new	nuevo	βɨna	βɨna	β ɨ n a		812		
4388	Kashinawa_B	new	nuevo	βɨna	βɨna	β ɨ n a		812		
4389	Araona	new	nuevo	nana	nana	n a n a		815		
4390	Araona	new	nuevo	shakua	shakua	ʃ a k u a		814		
4391	Tacana	new	nuevo	eichakua	eichakua	e i tʃ a k u a		814		
4392	Tacana	new	nuevo	enana	enana	e n a n a		815		
4393	Cavinena	new	nuevo	iyacuaque	iyacuaque	i j a c u a q u e		821		
4394	Cavinena	new	nuevo	tsumema	tsumema	ts u m e m a		816		
4395	Ese_ejja	new	nuevo	eyacua	eyacua	e j a c u a		821		
4396	Matses	old [adj.]	viejo	ʂɨni	ʂɨni	ʂ ɨ n i	old	833		
4397	Matis	old [adj.]	viejo	ʂɨni	ʂɨni	ʂ ɨ n i		833		
4398	Marubo	old [adj.]	viejo	ʂɨni	ʂɨni	ʂ ɨ n i		833		
4399	Katukina	old [adj.]	viejo	sheni-a	shenia	ʃ e n i a		833		
4400	Shipibo_Konibo	old [adj.]	viejo	payu	payu	p a j u	old	837		
4401	Kapanawa	old [adj.]	viejo	ʂɨni	ʂɨni	ʂ ɨ n i		833		
4402	Arara	old [adj.]	viejo	ãdihɨ	ãdihɨ	ã d i h ɨ		842		
4403	Shanenawa	old [adj.]	viejo	ani	ani	a n i		805		
4404	Yawanawa	old [adj.]	viejo	ʃini	ʃini	ʃ i n i		833		
4405	Nukini	old [adj.]	viejo	nusi	nusi	n u s i		834		
4406	Poyanawa	old [adj.]	viejo	iwa	iwa	i w a		838		
4407	Iskonawa	old [adj.]	viejo	hɨni	hɨni	h ɨ n i		833		
4408	Chakobo	old [adj.]	viejo	yusi	yusi	j u s i		834		
4409	Pakawara	old [adj.]	viejo	nui	nui	n u i		834		
4410	Kakataibo	old [adj.]	viejo	ʂɨni	ʂɨni	ʂ ɨ n i		833		
4411	Kaxarari	old [adj.]	viejo	tʃapawɨ	tʃapawɨ	tʃ a p a w ɨ		839		
4412	Mastanawa	old [adj.]	viejo	ʂɨdi	ʂɨdi	ʂ ɨ d i		833		
4413	Chaninawa	old [adj.]	viejo	ʂɨdi	ʂɨdi	ʂ ɨ d i		833		
4414	Sharanawa	old [adj.]	viejo	ʂɨdi	ʂɨdi	ʂ ɨ d i		833		
4415	Amawaka	old [adj.]	viejo	çɨndi	çɨndi	ç ɨ n d i		833		
4416	Nawa	old [adj.]	viejo	ʂɨdi	ʂɨdi	ʂ ɨ d i		833		
4417	Marinawa	old [adj.]	viejo	ʂɨndi	ʂɨndi	ʂ ɨ n d i		833		
4418	Yaminawa	old [adj.]	viejo	ʂɨdi	ʂɨdi	ʂ ɨ d i		833		
4419	Kashinawa_P	old [adj.]	viejo	ʂɨni	ʂɨni	ʂ ɨ n i		833		
4420	Kashinawa_B	old [adj.]	viejo	mɨstɨβu	mɨstɨβu	m ɨ s t ɨ β u		840		
4421	Araona	old [adj.]	viejo	esi	esi	e s i		835		
4422	Araona	old [adj.]	viejo	poisa	poisa	p o i s a		836		
4423	Tacana	old [adj.]	viejo	edhi	edhi	e d́ʱ i		835		
4424	Cavinena	old [adj.]	viejo	esiri	esiri	e s i r i		835		
4425	Ese_ejja	old [adj.]	viejo	queachii	queachii	q u e a tʃ iː		841		
4426	Matses	good	bueno	βɨda	βɨda	β ɨ d a	good	503		
4427	Matis	good	bueno	βɨda	βɨda	β ɨ d a		503		
4428	Marubo	good	bueno	rua	rua	r u a		499		
4429	Katukina	good	bueno	rua-pa	ruapa	r u a p a		499		
4430	Shipibo_Konibo	good	bueno	hakun	hakun	h a k u n	good	502		
4431	Kapanawa	good	bueno	siri	siri	s i r i		498		
4432	Kapanawa	good	bueno	hakun	hakun	h a k u n	good	502		
4433	Arara	good	bueno	ʃara	ʃara	ʃ a r a		498		
4434	Shanenawa	good	bueno	ʂaraka	ʂaraka	ʂ a r a k a		498		
4435	Yawanawa	good	bueno	ʃara	ʃara	ʃ a r a		498		
4436	Nukini	good	bueno	iru	iru	i r u		499		
4437	Poyanawa	good	bueno	iru	iru	i r u		499		
4438	Iskonawa	good	bueno	iru	iru	i r u		499		
4439	Chakobo	good	bueno	hia	hia	h i a		506		
4440	Kakataibo	good	bueno	upi	upi	u p i		500		
4441	Kaxarari	good	bueno	tsuwi	tsuwi	ts u w i		505		
4442	Mastanawa	good	bueno	ʂaɾa	ʂaɾa	ʂ a ɾ a		498		
4443	Chaninawa	good	bueno	ʃaɾa	ʃaɾa	ʃ a ɾ a		498		
4444	Sharanawa	good	bueno	ʃaɾa	ʃaɾa	ʃ a ɾ a		498		
4445	Amawaka	good	bueno	ʃaɾa	ʃaɾa	ʃ a ɾ a		498		
4446	Nawa	good	bueno	ʃaɾa	ʃaɾa	ʃ a ɾ a		498		
4447	Marinawa	good	bueno	ʂaɾa	ʂaɾa	ʂ a ɾ a		498		
4448	Yaminawa	good	bueno	ʂaɾa	ʂaɾa	ʂ a ɾ a		498		
4449	Yaminawa	good	bueno	ʂala	ʂala	ʂ a l a		498		
4450	Kashinawa_P	good	bueno	pɨ	pɨ	p ɨ		500		
4451	Kashinawa_B	good	bueno	pi	pi	p i		500		
4452	Araona	good	bueno	jaidya	jaidya	j a i d j a		506		
4453	Tacana	good	bueno	saida	saida	s a i d a		506		
4454	Cavinena	good	bueno	jida	jida	j i d a		506		
4455	Ese_ejja	good	bueno	queabame	queabame	q u e a b a m e		504		
4456	Matses	bad	malo	iksa	iksa	i k s a	bad	1550		
4457	Matis	bad	malo	iksama	iksama	i k s a + m a	good _ma	1550		
4458	Marubo	bad	malo	iʃna	iʃna	i ʃ n a		46		
4459	Shipibo_Konibo	bad	malo	hakun-ma	hakunma	h a k u n + m a	good _ma	41		
4460	Kapanawa	bad	malo	tiruma	tiruma	t i r u m a		1548		
4461	Kapanawa	bad	malo	hakunma	hakunma	h a k u n + m a	good _not	41		
4462	Arara	bad	malo	ʃaramba	ʃaramba	ʃ a r a m b a		37		
4463	Shanenawa	bad	malo	ʂarama	ʂarama	ʂ a r a m a		37		
4464	Yawanawa	bad	malo	tʃaka	tʃaka	tʃ a k a		38		
4465	Nukini	bad	malo	iruma	iruma	i r u m a		33		
4466	Poyanawa	bad	malo	irumba	irumba	i r u m b a		33		
4467	Iskonawa	bad	malo	miʧa	miʧa	m i tʃ a		1551		
4468	Iskonawa	bad	malo	iruma	iruma	i r u m a		33		
4469	Chakobo	bad	malo	kaʂaʂɨni	kaʂaʂɨni	k a ʂ a ʂ ɨ n i		43		
4470	Kakataibo	bad	malo	aisama	aisama	a i s a m a		39		
4471	Kaxarari	bad	malo	tsɨwɨma	tsɨwɨma	ts ɨ w ɨ m a		35		
4472	Mastanawa	bad	malo	ʧaʔa	ʧaʔa	tʃ a ʔ a		38		
4473	Chaninawa	bad	malo	t͡ʃaka	t͡ʃaka	tʃ a k a		38		
4474	Sharanawa	bad	malo	t͡ʃaka	t͡ʃaka	tʃ a k a		38		
4475	Amawaka	bad	malo	iɾuma	iɾuma	i ɾ u m a		33		
4476	Nawa	bad	malo	ʧaka	ʧaka	tʃ a k a		38		
4477	Marinawa	bad	malo	ʧaka	ʧaka	tʃ a k a		38		
4478	Yaminawa	bad	malo	ʧaʔa	ʧaʔa	tʃ a ʔ a		38		
4479	Kashinawa_P	bad	malo	ʧakaβu	ʧakaβu	tʃ a k a β u		38		
4480	Kashinawa_B	bad	malo	tʃakaβu	tʃakaβu	tʃ a k a β u		38		
4481	Araona	bad	malo	shili 'ser malo'	shili 'ser malo'	ʃ i l i + s e r + m a l o ʔ		44		
4482	Araona	bad	malo	masawe	masawe	m a s a w e		45		
4483	Tacana	bad	malo	madhada	madhada	m a d́ʱ a d a		40		
4484	Tacana	bad	malo	madhada	madhada	m a d́ʱ a d a		40		
4485	Tacana	bad	malo	saidama	saidama	s a i d a m a		1549		
4486	Cavinena	bad	malo	nime	nime	n i m e		47		
4487	Cavinena	bad	malo	yuama	yuama	j u a m a		34		
4488	Ese_ejja	bad	malo	queamase	queamase	q u e a m a s e		42		
4489	Matses	wet	mojado	tʂuku	tʂuku	ʈʂ u k u	wet	1406		
4490	Matis	wet	mojado	tʂuβɨd	tʂuβɨd	ʈʂ u β ɨ d		1406		
4491	Marubo	wet	mojado	mɨtʃa	mɨtʃa	m ɨ tʃ a		1404		
4492	Katukina	wet	mojado	metxa	metxa	m e t x a		1404		
4493	Shipibo_Konibo	wet	mojado	mɨtʃa	mɨtʃa	m ɨ tʃ a		1404		
4494	Kapanawa	wet	mojado	mɨtʃa	mɨtʃa	m ɨ tʃ a		1404		
4495	Arara	wet	mojado	bɨtʃa	bɨtʃa	b ɨ tʃ a		1404		
4496	Shanenawa	wet	mojado	mutʃia	mutʃia	m u tʃ i a		1404		
4497	Yawanawa	wet	mojado	mɨtʂa	mɨtʂa	m ɨ ʈʂ a		1404		
4498	Poyanawa	wet	mojado	bɨʃa	bɨʃa	b ɨ ʃ a		1404		
4499	Iskonawa	wet	mojado	mɨʧa	mɨʧa	m ɨ tʃ a		1404		
4500	Chakobo	wet	mojado	tʃaaʂa	tʃaaʂa	tʃ aː ʂ a		1410		
4501	Chakobo	wet	mojado	musa	musa	m u s a		1404		
4502	Kakataibo	wet	mojado	tʃaβa	tʃaβa	tʃ a β a		1410		
4503	Kaxarari	wet	mojado	hɨnla	hɨnla	h ɨ n l a		1411		
4504	Mastanawa	wet	mojado	bɨʧa	bɨʧa	b ɨ tʃ a		1404		
4505	Chaninawa	wet	mojado	bɨt͡ʃa	bɨt͡ʃa	b ɨ tʃ a		1404		
4506	Sharanawa	wet	mojado	bɨt͡ʃa	bɨt͡ʃa	b ɨ tʃ a		1404		
4507	Amawaka	wet	mojado	mɨt͡ʃa	mɨt͡ʃa	m ɨ tʃ a		1404		
4508	Nawa	wet	mojado	bɨʧa	bɨʧa	b ɨ tʃ a		1404		
4509	Marinawa	wet	mojado	bɨʧa	bɨʧa	b ɨ tʃ a		1404		
4510	Yaminawa	wet	mojado	bɨʧa	bɨʧa	b ɨ tʃ a		1404		
4511	Kashinawa_P	wet	mojado	ʧajka	ʧajka	tʃ a j k a		1410		
4512	Kashinawa_B	wet	mojado	mɨtʃa	mɨtʃa	m ɨ tʃ a		1404		
4513	Araona	wet	mojado	anaja	anaja	a n a j a		1408		
4514	Tacana	wet	mojado	tsabida	tsabida	ts a b i d a		1410		
4515	Cavinena	wet	mojado	enacata	enacata	e n a c a t a		1407		
4516	Cavinena	wet	mojado	nacada	nacada	n a c a d a		1407		
4517	Ese_ejja	wet	mojado	queachoe	queachoe	q u e a tʃ o e		1409		
4518	Matses	dry [adj./v.]	seco	tanun	tanun	t a n u n	dry	290		
4519	Matis	dry [adj./v.]	seco	kudu	kudu	k u d u		168		
4520	Marubo	dry [adj./v.]	seco	ɨʂta	ɨʂta	ɨ ʂ t a		289		
4521	Katukina	dry [adj./v.]	seco	putu	putu	p u t u		163		
4522	Shipibo_Konibo	dry [adj./v.]	seco	tʃuʃia	tʃuʃia	tʃ u ʃ i a		285		
